ID,Pb,Pb_level,Pb_level_cat,Pb +/-,Cu,Cu +/-,Zn,Zn +/-,Ni,Ni +/-,Fe,Fe +/-,Cr,Cr +/-,Mn,Mn +/-,V,V +/-,ID_1,SmokingIndoors,HouseAge,Garden,ExteriorPeeling,InteriorPeeling,Pets,BrickConstruction,RecentRenovation,Housing_1,Housing,HeatingFuel,VacuumFrequency,Response Code,Occupant0_1.LeadExposureOccupation,Occupant0_1.LeadExposureHobby,Hobbies,MainFlooring,VacuumCleanerUsedOutside
AA0196,56,0,Low,3,225,8,2308,23,137,9,34690,236,163,5,481,7,89,4,AA0196,0,40,1,0,0,1,0,1,1981,0,Electricity,Weekly or more,,,0,,tiled,0
AA0172,25.2,0,Low,1.4,95,3,388,5,,,15322,67,15.6,1.9,299,3,29,1.3,AA0172,0,39,1,0,0,1,0,1,1982,0,Gas,Weekly or more,,,0,,Carpet,0
AA0184,27.2,0,Low,1.4,46,2,243,4,15,3,6198,37,24.5,1.9,206,3,20.4,1.3,AA0184,0,39,1,0,0,1,0,0,1982,0,Gas,Weekly or more,,0,0,,Wood,0
AA0069,41,0,Low,2,183,5,1593,13,154,7,23412,122,55,3,361,4,50,2,AA0069,0,39,0,0,0,0,0,0,1982,0,Electricity,Twice a month,,,0,,Carpet,0
AA0127,6.8,0,Low,1.4,25,3,167,4,19,4,2525,29,6,2,94,3,6.1,1.2,AA0127,0,37,1,0,1,0,0,0,1984,0,Gas,Weekly or more,,1,0,,Wood,0
AA0062,12,0,Low,1.6,184,5,309,6,25,4,5949,48,70,3,233,4,37.4,1.9,AA0062,0,37,0,0,0,1,0,1,1984,0,Electricity,Weekly,,0,0,,Carpet,0
AA0313,34.6,0,Low,1.9,479,7,1228,10,34,4,4284,37,49,2,117,3,11.3,1.1,AA0313,0,37,1,0,0,0,1,1,1984,0,Electricity,Twice a month,,0,0,n/a,Carpet; Wood; Tile,0
AA0054,80,,,2,89,3,377,5,28,3,15062,70,58,2,670,5,38.9,1.8,AA0054,0,37,1,0,0,1,0,0,1984,0,Electricity; Gas,Weekly,,1,0,,Wood,0
AA0058,89,1,High,2,372,6,600,6,58,4,14724,70,83,2,831,6,36.4,1.5,AA0058,0,37,0,0,0,1,0,0,1984,0,Oil,Weekly or more,,0,0,,Carpet,1
AA0089,31,0,Low,3,185,7,2108,21,126,9,35269,226,235,5,535,7,60,3,AA0089,0,36,1,0,0,0,0,1,1985,0,Gas,Twice a month,,0,0,,Other,1
AA0380,33.4,0,Low,1.8,161,4,2972,17,16,4,8821,54,49,2,139,3,19.4,1.3,AA0380,0,36,0,0,0,0,0,0,1985,0,Electricity,Monthly,,0,0,n/a,Carpet,0
AA0077,36.5,0,Low,1.8,172,5,2365,15,63,5,17576,87,122,3,399,4,39,1.6,AA0077,0,36,1,0,0,0,0,1,1985,0,Gas,Twice a month,,0,0,,Other,1
AA0384,62.7,0,Low,1.8,120,3,1668,10,21,3,6652,39,142,3,126,3,25.3,1.4,AA0384,1,36,1,0,0,1,0,0,1985,0,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0291,225,1,High,4,596,8,1183,10,117,5,17268,86,159,3,266,4,43.5,1.8,AA0291,0,36,1,0,0,0,1,0,1985,0,Electricity,Weekly,,1,0,n/a,Wood,0
AA0311,,,,,38,3,129,3,,,2715,27,19.5,2,113,3,7.8,1.1,AA0311,0,36,0,0,0,1,0,0,1985,0,Electricity,Twice a month,,0,0,n/a,Carpet; Tile,0
AA0360,6.7,0,Low,1,43,2,359,4,9,3,4509,29,27.3,1.8,148,3,18.8,1.4,AA0360,0,35,1,0,0,1,0,1,1986,0,Electricity,Twice a month,,0,0,n/a,Wood,0
AA0407,6.9,0,Low,1,28,2,372,4,,,4609,30,21.6,1.6,106,2,17.4,1,AA0407,0,35,1,0,0,1,0,0,1986,0,Electricity; Gas,Weekly,,0,0,n/a,Carpet,0
AA0346,14.1,0,Low,1.6,74,4,373,6,,,4518,40,137,3,161,3,24,1.8,AA0346,0,35,0,0,0,1,0,1,1986,0,Gas,Weekly,,0,0,n/a,Vinyl,0
AA0304,36.7,0,Low,1.4,63,3,426,5,,,6314,37,51.3,1.9,179,3,16.8,1.1,AA0304,0,35,1,0,0,1,1,0,1986,0,Electricity,Weekly,,0,3,shooting and fishing,Carpet; Wood,0
AA0307,39.1,0,Low,1.7,115,3,792,7,53,4,12247,61,182,3,263,4,50.7,1.9,AA0307,0,35,0,0,0,1,1,0,1986,0,Electricity,Weekly,,1,1,auto painting- hydrodipping ,Carpet,0
AA0106,88,1,High,3,449,8,922,10,166,7,11136,75,35,2,179,3,27.2,1.7,AA0106,0,35,1,0,0,1,0,0,1986,0,Gas,Weekly or more,,0,1,shooting,Wood,3
AA0310,15.1,0,Low,1.5,234,5,647,7,107,5,11395,64,41,2,128,3,58.9,2,AA0310,0,34,0,1,0,0,0,0,1987,0,Gas,Weekly,,0,0,n/a,Wood,1
AA0117,28,0,Low,2,302,8,1962,18,75,7,8773,76,97,3,234,4,29.9,1.9,AA0117,0,34,0,0,0,0,0,0,1987,0,Electricity,Weekly or more,,0,0,,Carpet,0
AA0050,197,1,High,6,168,8,1500,20,71,9,4892,68,121,4,310,6,58,3,AA0050,1,34,1,0,0,0,1,1,1987,0,Electricity,Twice a month,,,0,,Wood,0
AA0309,7.5,0,Low,1,116,3,526,5,9,3,3415,25,20.9,1.5,89,2,13.3,1,AA0309,0,33,0,0,0,0,0,0,1988,0,Electricity,Twice a month,,0,0,n/a,Carpet,0
AA0450,10.8,0,Low,1.9,50,4,153,4,20,5,17348,111,76,3,331,5,55,2,AA0450,0,33,0,0,0,0,1,0,1988,0,Electricity,Monthly,,0,0,n/a,Carpet,0
AA0179,58.2,0,Low,2,209,5,440,5,39,4,38752,152,61,3,548,5,58,2,AA0179,0,33,0,0,0,1,1,1,1988,0,Electricity,Weekly or more,,0,0,,Carpet,1
AA0344,133,1,High,4,196,6,556,8,,,3440,41,1081,9,181,4,24.3,1.5,AA0344,0,33,0,0,0,0,1,0,1988,0,Electricity,Twice a month,,0,0,n/a,Carpet,0
AA0371,,,,,,,13,1.4,,,274,9,,,26,2,,,AA0371,0,33,1,0,0,1,0,0,1988,0,Electricity,Weekly,,0,0,n/a,Carpet; Wood,1
AA0137,4.2,0,Low,1.1,17,2,87,3,,,1681,20,9.4,1.7,32,2,,,AA0137,0,32,0,0,0,0,0,0,1989,0,Gas,Weekly or more,,0,1,Painting,Carpet,0
AA0414,6.6,0,Low,1.5,71,4,440,6,294,8,6613,50,34,2,216,3,18.7,1.6,AA0414,0,32,1,0,0,1,0,1,1989,0,Electricity,Weekly,,0,0,n/a,Wood; tile,1
AA0378,9.4,0,Low,1.2,133,4,540,6,14,3,4181,32,69,2,140,3,15.2,1.1,AA0378,0,32,1,0,0,1,1,0,1989,0,Gas,Weekly,,0,0,n/a,Carpet,0
AA0447,19,0,Low,2,104,5,490,8,,,4655,51,135,4,250,5,24.5,1.7,AA0447,0,32,1,1,0,1,0,0,1989,0,Electricity,Twice a month,,0,0,n/a,Carpet,0
AA0204,24.6,0,Low,1.9,107,4,537,7,28,5,15194,91,60,3,294,4,31.5,1.7,AA0204,0,32,1,0,0,0,0,0,1989,0,Oil,Weekly or more,,0,1,shooting ranges,Carpet,1
AA0027,23.4,0,Low,1.2,43,2,579,5,,,5346,31,18.5,1.7,150,2,78.1,1.5,AA0027,0,31,1,2,0,0,1,0,1990,0,Gas,Twice a month,,2,0,,Wood,0
AA0347,30.8,0,Low,1.5,90,3,572,6,30,3,8927,50,73,3,239,3,49,2,AA0347,0,31,1,0,0,0,0,0,1990,0,Electricity,Weekly,,0,0,n/a,Carpet; Linoleum/vinyl,0
AA0192,20,0,Low,2,200,6,568,9,29,6,18511,123,60,3,670,6,53,2,AA0192,0,30,0,0,0,1,1,0,1991,0,Gas,Weekly or more,,0,0,,Carpet,0
